iter	Passed	Remaining
0	57	57660
1	57	28918
2	58	19332
3	58	14552
4	58	11676
5	58	9756
6	59	8385
7	59	7359
8	59	6561
9	59	5921
10	60	5396
11	60	4959
12	60	4589
13	60	4272
14	60	3998
15	61	3757
16	61	3545
17	61	3357
18	61	3188
19	61	3035
20	62	2897
21	62	2772
22	62	2657
23	62	2552
24	62	2456
25	63	2367
26	63	2284
27	63	2207
28	63	2136
29	64	2069
30	64	2007
31	64	1949
32	64	1894
33	64	1842
34	65	1793
35	65	1747
36	65	1705
37	65	1663
38	65	1624
39	66	1589
40	66	1554
41	66	1521
42	66	1489
43	67	1459
44	67	1430
45	67	1402
46	67	1375
47	68	1349
48	68	1324
49	68	1301
50	68	1278
51	68	1255
52	69	1234
53	69	1214
54	69	1195
55	69	1176
56	69	1157
57	70	1140
58	70	1122
59	70	1106
60	70	1090
61	71	1075
62	71	1060
63	71	1045
64	71	1031
65	71	1018
66	72	1005
67	72	990
68	72	977
69	72	965
70	72	954
71	73	942
72	73	931
73	73	920
74	73	909
75	73	899
76	74	889
77	74	879
78	74	870
79	74	861
80	75	851
81	75	842
82	75	834
83	75	825
84	75	815
85	76	808
86	76	798
87	76	791
88	76	784
89	76	776
90	77	769
91	77	762
92	77	755
93	77	748
94	77	741
95	78	735
96	78	728
97	78	722
98	78	716
99	78	710
100	79	704
101	79	697
102	79	691
103	79	686
104	79	680
105	80	675
106	80	670
107	80	664
108	80	659
109	80	654
110	81	649
111	81	644
112	81	640
113	81	635
114	81	630
115	82	625
116	82	621
117	82	616
118	82	611
119	82	607
120	83	603
121	83	599
122	83	594
123	83	590
124	83	586
125	83	582
126	84	578
127	84	574
128	84	570
129	84	566
130	84	563
131	85	559
132	85	556
133	85	552
134	85	549
135	85	546
136	86	542
137	86	539
138	86	535
139	86	532
140	87	530
141	87	526
142	87	523
143	87	520
144	87	517
145	88	514
146	88	512
147	88	509
148	88	506
149	88	503
150	89	500
151	89	498
152	89	495
153	89	492
154	89	490
155	90	487
156	90	485
157	90	482
158	90	480
159	91	478
160	91	475
161	91	473
162	91	470
163	91	468
164	92	466
165	92	464
166	92	461
167	92	459
168	93	457
169	93	455
170	93	453
171	93	450
172	93	448
173	94	446
174	94	444
175	94	442
176	94	440
177	94	438
178	95	436
179	95	434
180	95	432
181	95	430
182	95	428
183	96	426
184	96	424
185	96	422
186	96	420
187	97	419
188	97	417
189	97	415
190	97	413
191	97	411
192	98	410
193	98	408
194	98	406
195	98	404
196	98	403
197	99	401
198	99	399
199	99	398
200	99	396
201	99	395
202	100	393
203	100	391
204	100	390
205	100	388
206	101	387
207	101	385
208	101	384
209	101	382
210	101	381
211	102	379
212	102	377
213	102	376
214	102	375
215	102	373
216	103	372
217	103	370
218	103	369
219	103	367
220	103	366
221	104	364
222	104	363
223	104	362
224	104	361
225	105	360
226	105	358
227	105	357
228	105	356
229	106	355
230	106	353
231	106	352
232	106	351
233	106	349
234	107	348
235	107	347
236	107	346
237	107	344
238	107	343
239	108	342
240	108	341
241	108	340
242	108	338
243	108	337
244	109	336
245	109	335
246	109	334
247	109	333
248	110	332
249	110	331
250	110	329
251	110	328
252	110	327
253	111	326
254	111	325
255	111	324
256	111	323
257	112	322
258	112	321
259	112	320
260	112	319
261	112	318
262	113	316
263	113	315
264	113	314
265	113	313
266	113	312
267	114	311
268	114	310
269	114	309
270	114	308
271	115	307
272	115	306
273	115	305
274	115	305
275	115	304
276	116	303
277	116	302
278	116	301
279	116	300
280	116	299
281	117	298
282	117	297
283	117	296
284	117	295
285	118	294
286	118	293
287	118	292
288	118	292
289	118	291
290	119	290
291	119	289
292	119	288
293	119	287
294	119	286
295	120	285
296	120	284
297	120	284
298	120	283
299	120	282
300	121	281
301	121	280
302	121	279
303	121	279
304	122	278
305	122	277
306	122	276
307	122	275
308	122	274
309	123	274
310	123	273
311	123	272
312	123	271
313	124	271
314	124	270
315	124	269
316	124	268
317	124	267
318	125	267
319	125	266
320	125	265
321	125	264
322	125	264
323	126	263
324	126	262
325	126	261
326	126	261
327	127	260
328	127	259
329	127	258
330	127	258
331	127	257
332	128	256
333	128	255
334	128	255
335	128	254
336	128	253
337	129	252
338	129	252
339	129	251
340	129	250
341	129	250
342	130	249
343	130	248
344	130	247
345	130	247
346	130	246
347	131	245
348	131	245
349	131	244
350	131	243
351	132	243
352	132	242
353	132	241
354	132	240
355	132	240
356	133	239
357	133	239
358	133	238
359	133	237
360	133	236
361	134	236
362	134	235
363	134	235
364	134	234
365	135	233
366	135	233
367	135	232
368	135	232
369	135	231
370	136	230
371	136	230
372	136	229
373	136	228
374	136	228
375	137	227
376	137	226
377	137	226
378	137	225
379	137	225
380	138	224
381	138	223
382	138	223
383	138	222
384	139	222
385	139	221
386	139	220
387	139	220
388	139	219
389	140	219
390	140	218
391	140	217
392	140	217
393	140	216
394	141	216
395	141	215
396	141	214
397	141	214
398	141	213
399	142	213
400	142	212
401	142	212
402	142	211
403	142	210
404	143	210
405	143	209
406	143	209
407	143	208
408	144	208
409	144	207
410	144	207
411	144	206
412	144	205
413	145	205
414	145	204
415	145	204
416	145	203
417	145	203
418	146	202
419	146	202
420	146	201
421	146	201
422	147	200
423	147	200
424	147	199
425	147	198
426	147	198
427	148	197
428	148	197
429	148	196
430	148	196
431	148	195
432	149	195
433	149	194
434	149	194
435	149	193
436	149	193
437	150	192
438	150	192
439	150	191
440	150	191
441	150	190
442	151	190
443	151	189
444	151	189
445	151	188
446	152	188
447	152	187
448	152	187
449	152	186
450	153	186
451	153	185
452	153	185
453	153	184
454	153	184
455	154	183
456	154	183
457	154	182
458	154	182
459	154	181
460	155	181
461	155	180
462	155	180
463	155	180
464	156	179
465	156	179
466	156	178
467	156	178
468	156	177
469	157	177
470	157	176
471	157	176
472	157	175
473	157	175
474	158	174
475	158	174
476	158	173
477	158	173
478	158	172
479	159	172
480	159	172
481	159	171
482	159	171
483	160	170
484	160	170
485	160	169
486	160	169
487	160	168
488	161	168
489	161	167
490	161	167
491	161	167
492	162	166
493	162	166
494	162	165
495	162	165
496	162	164
497	163	164
498	163	164
499	163	163
500	163	163
501	164	162
502	164	162
503	164	161
504	164	161
505	164	161
506	165	160
507	165	160
508	165	159
509	165	159
510	165	158
511	166	158
512	166	157
513	166	157
514	166	157
515	167	156
516	167	156
517	167	155
518	167	155
519	167	155
520	168	154
521	168	154
522	168	153
523	168	153
524	169	152
525	169	152
526	169	152
527	169	151
528	169	151
529	170	150
530	170	150
531	170	150
532	170	149
533	170	149
534	171	148
535	171	148
536	171	147
537	171	147
538	172	147
539	172	146
540	172	146
541	172	145
542	172	145
543	173	145
544	173	144
545	173	144
546	173	143
547	173	143
548	174	143
549	174	142
550	174	142
551	174	141
552	175	141
553	175	141
554	175	140
555	175	140
556	175	139
557	176	139
558	176	139
559	176	138
560	176	138
561	176	137
562	177	137
563	177	137
564	177	136
565	177	136
566	178	135
567	178	135
568	178	135
569	178	134
570	178	134
571	179	134
572	179	133
573	179	133
574	179	132
575	179	132
576	180	132
577	180	131
578	180	131
579	180	130
580	180	130
581	181	130
582	181	129
583	181	129
584	181	129
585	182	128
586	182	128
587	182	127
588	182	127
589	182	127
590	183	126
591	183	126
592	183	126
593	183	125
594	184	125
595	184	124
596	184	124
597	184	124
598	184	123
599	185	123
600	185	123
601	185	122
602	185	122
603	186	121
604	186	121
605	186	121
606	186	120
607	186	120
608	187	120
609	187	119
610	187	119
611	187	119
612	188	118
613	188	118
614	188	117
615	188	117
616	188	117
617	188	116
618	189	116
619	189	116
620	189	115
621	189	115
622	190	114
623	190	114
624	190	114
625	190	113
626	190	113
627	190	113
628	191	112
629	191	112
630	191	112
631	191	111
632	192	111
633	192	110
634	192	110
635	192	110
636	192	109
637	193	109
638	193	109
639	193	108
640	193	108
641	193	108
642	194	107
643	194	107
644	194	107
645	194	106
646	194	106
647	195	105
648	195	105
649	195	105
650	195	104
651	195	104
652	196	104
653	196	103
654	196	103
655	196	103
656	196	102
657	197	102
658	197	102
659	197	101
660	197	101
661	198	101
662	198	100
663	198	100
664	198	100
665	198	99
666	199	99
667	199	99
668	199	98
669	199	98
670	199	98
671	200	97
672	200	97
673	201	97
674	201	96
675	201	96
676	201	96
677	202	95
678	202	95
679	202	95
680	202	94
681	202	94
682	203	94
683	203	93
684	203	93
685	203	93
686	203	92
687	204	92
688	204	92
689	204	91
690	204	91
691	204	91
692	205	90
693	205	90
694	205	90
695	205	89
696	206	89
697	206	89
698	206	88
699	206	88
700	206	88
701	207	87
702	207	87
703	207	87
704	207	86
705	207	86
706	208	86
707	208	85
708	208	85
709	208	85
710	208	84
711	209	84
712	209	84
713	209	83
714	209	83
715	210	83
716	210	82
717	210	82
718	210	82
719	210	82
720	211	81
721	211	81
722	211	81
723	211	80
724	211	80
725	212	80
726	212	79
727	212	79
728	212	79
729	213	78
730	213	78
731	213	78
732	213	77
733	213	77
734	214	77
735	214	76
736	214	76
737	214	76
738	214	75
739	215	75
740	215	75
741	215	74
742	215	74
743	215	74
744	216	73
745	216	73
746	216	73
747	216	73
748	217	72
749	217	72
750	217	72
751	217	71
752	218	71
753	218	71
754	218	70
755	218	70
756	218	70
757	219	69
758	219	69
759	219	69
760	219	68
761	219	68
762	220	68
763	220	68
764	220	67
765	220	67
766	220	67
767	221	66
768	221	66
769	221	66
770	221	65
771	222	65
772	222	65
773	222	64
774	222	64
775	222	64
776	223	64
777	223	63
778	223	63
779	223	63
780	223	62
781	224	62
782	224	62
783	224	61
784	224	61
785	224	61
786	225	60
787	225	60
788	225	60
789	225	60
790	226	59
791	226	59
792	226	59
793	226	58
794	226	58
795	227	58
796	227	57
797	227	57
798	227	57
799	227	56
800	228	56
801	228	56
802	228	56
803	228	55
804	229	55
805	229	55
806	229	54
807	229	54
808	229	54
809	230	53
810	230	53
811	230	53
812	230	53
813	230	52
814	231	52
815	231	52
816	231	51
817	231	51
818	231	51
819	232	50
820	232	50
821	232	50
822	232	50
823	232	49
824	233	49
825	233	49
826	233	48
827	233	48
828	233	48
829	234	47
830	234	47
831	234	47
832	234	47
833	234	46
834	235	46
835	235	46
836	235	45
837	235	45
838	236	45
839	236	44
840	236	44
841	236	44
842	236	44
843	237	43
844	237	43
845	237	43
846	237	42
847	237	42
848	238	42
849	238	42
850	238	41
851	238	41
852	239	41
853	239	40
854	239	40
855	239	40
856	239	40
857	240	39
858	240	39
859	240	39
860	240	38
861	240	38
862	241	38
863	241	37
864	241	37
865	241	37
866	241	37
867	242	36
868	242	36
869	242	36
870	242	35
871	243	35
872	243	35
873	243	35
874	243	34
875	243	34
876	244	34
877	244	33
878	244	33
879	244	33
880	244	33
881	245	32
882	245	32
883	245	32
884	245	31
885	245	31
886	246	31
887	246	31
888	246	30
889	246	30
890	247	30
891	247	29
892	247	29
893	247	29
894	247	29
895	248	28
896	248	28
897	248	28
898	248	27
899	249	27
900	249	27
901	249	27
902	249	26
903	249	26
904	250	26
905	250	25
906	250	25
907	250	25
908	251	25
909	251	24
910	251	24
911	251	24
912	251	24
913	252	23
914	252	23
915	252	23
916	252	22
917	252	22
918	253	22
919	253	22
920	253	21
921	253	21
922	254	21
923	254	20
924	254	20
925	254	20
926	254	20
927	255	19
928	255	19
929	255	19
930	255	18
931	256	18
932	256	18
933	256	18
934	256	17
935	256	17
936	257	17
937	257	17
938	257	16
939	257	16
940	257	16
941	258	15
942	258	15
943	258	15
944	258	15
945	258	14
946	259	14
947	259	14
