iter	Passed	Remaining
0	55	55546
1	55	27895
2	56	18673
3	56	14059
4	56	11295
5	57	9450
6	58	8367
7	59	7360
8	59	6596
9	60	5978
10	60	5460
11	61	5026
12	61	4673
13	61	4356
14	62	4081
15	62	3842
16	62	3628
17	63	3448
18	63	3296
19	64	3144
20	64	3006
21	64	2880
22	65	2768
23	65	2664
24	66	2575
25	66	2495
26	67	2417
27	67	2343
28	67	2270
29	68	2202
30	68	2150
31	69	2093
32	69	2037
33	70	1998
34	70	1953
35	71	1906
36	71	1863
37	71	1818
38	72	1775
39	72	1735
40	72	1697
41	72	1660
42	73	1624
43	73	1591
44	73	1558
45	73	1528
46	73	1498
47	74	1470
48	74	1447
49	75	1425
50	75	1403
51	75	1380
52	76	1359
53	76	1338
54	76	1318
55	76	1297
56	77	1278
57	77	1259
58	77	1241
59	78	1222
60	78	1204
61	78	1187
62	78	1170
63	78	1153
64	79	1138
65	79	1122
66	79	1108
67	79	1093
68	80	1079
69	80	1065
70	80	1052
71	80	1039
72	80	1027
73	81	1014
74	81	1003
75	81	991
76	81	979
77	81	968
78	82	958
79	82	947
80	82	937
81	82	927
82	82	916
83	83	906
84	83	897
85	83	888
86	83	880
87	84	871
88	84	862
89	84	854
90	84	845
91	84	837
92	85	829
93	85	822
94	85	815
95	85	807
96	85	800
97	86	793
98	86	786
99	86	780
100	86	773
101	87	766
102	87	760
103	87	754
104	87	747
105	87	741
106	88	735
107	88	729
108	88	724
109	88	718
110	89	713
111	89	707
112	89	702
113	89	696
114	89	691
115	90	686
116	90	681
117	90	676
118	90	671
119	90	666
120	91	661
121	91	656
122	91	652
123	91	647
124	91	643
125	92	639
126	92	634
127	92	630
128	92	626
129	93	622
130	93	618
131	93	614
132	93	610
133	93	606
134	94	602
135	94	599
136	94	595
137	94	591
138	94	588
139	95	584
140	95	581
141	95	577
142	95	573
143	96	570
144	96	567
145	96	564
146	96	560
147	96	557
148	97	554
149	97	551
150	97	548
151	97	545
152	97	542
153	98	539
154	98	536
155	98	533
156	98	530
157	99	527
158	99	524
159	99	521
160	99	518
161	99	515
162	99	513
163	100	510
164	100	507
165	100	505
166	100	503
167	101	501
168	101	498
169	101	496
170	101	493
171	102	491
172	102	488
173	102	486
174	102	484
175	102	481
176	103	479
177	103	477
178	103	474
179	103	472
180	103	470
181	104	468
182	104	466
183	104	463
184	104	461
185	105	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	447
192	106	445
193	106	443
194	106	441
195	107	439
196	107	437
197	107	435
198	107	433
199	108	432
200	108	430
201	108	428
202	108	426
203	108	424
204	109	423
205	109	421
206	109	419
207	109	418
208	110	416
209	110	414
210	110	413
211	110	411
212	110	409
213	111	408
214	111	406
215	111	405
216	111	403
217	112	401
218	112	400
219	112	398
220	112	396
221	112	395
222	113	393
223	113	392
224	113	390
225	113	389
226	113	387
227	114	386
228	114	384
229	114	383
230	114	382
231	114	380
232	115	379
233	115	377
234	115	376
235	115	374
236	116	373
237	116	372
238	116	370
239	116	369
240	116	368
241	117	367
242	117	365
243	117	364
244	117	363
245	118	361
246	118	360
247	118	359
248	118	357
249	118	356
250	119	355
251	119	354
252	119	352
253	119	351
254	119	350
255	120	349
256	120	348
257	120	346
258	120	345
259	121	344
260	121	343
261	121	342
262	121	341
263	121	340
264	122	338
265	122	337
266	122	336
267	122	335
268	123	334
269	123	333
270	123	332
271	123	331
272	123	330
273	124	329
274	124	327
275	124	327
276	124	326
277	125	325
278	125	324
279	125	323
280	125	321
281	126	320
282	126	319
283	126	318
284	126	317
285	126	316
286	127	315
287	127	314
288	127	313
289	127	312
290	128	311
291	128	310
292	128	309
293	128	308
294	128	307
295	129	306
296	129	305
297	129	304
298	129	304
299	129	303
300	130	302
301	130	301
302	130	300
303	130	299
304	131	298
305	131	297
306	131	296
307	132	297
308	132	296
309	132	295
310	132	294
311	133	293
312	133	292
313	133	291
314	133	290
315	134	290
316	134	289
317	134	288
318	134	287
319	134	286
320	135	285
321	135	285
322	135	284
323	135	283
324	136	282
325	136	281
326	136	281
327	136	280
328	137	279
329	137	278
330	137	277
331	137	276
332	137	276
333	138	275
334	138	274
335	138	273
336	138	273
337	139	272
338	139	271
339	139	270
340	139	269
341	139	269
342	140	268
343	140	267
344	140	266
345	140	266
346	140	265
347	141	264
348	141	263
349	141	262
350	141	262
351	142	261
352	142	260
353	142	259
354	142	259
355	142	258
356	143	257
357	143	256
358	143	256
359	143	255
360	143	254
361	144	253
362	144	253
363	144	252
364	144	251
365	144	251
366	145	250
367	145	249
368	145	248
369	145	248
370	145	247
371	146	246
372	146	246
373	146	245
374	146	244
375	147	244
376	147	243
377	147	242
378	147	242
379	147	241
380	148	240
381	148	239
382	148	239
383	148	238
384	148	237
385	149	237
386	149	236
387	149	235
388	149	235
389	150	234
390	150	234
391	150	233
392	150	232
393	150	232
394	151	231
395	151	230
396	151	230
397	151	229
398	151	228
399	152	228
400	152	227
401	152	226
402	152	226
403	152	225
404	153	225
405	153	224
406	153	223
407	153	223
408	154	222
409	154	222
410	154	221
411	154	220
412	154	220
413	155	219
414	155	218
415	155	218
416	155	217
417	155	217
418	156	216
419	156	216
420	156	215
421	156	214
422	157	214
423	157	213
424	157	213
425	157	212
426	157	211
427	158	211
428	158	210
429	158	210
430	158	209
431	159	209
432	159	208
433	159	207
434	159	207
435	159	206
436	160	206
437	160	205
438	160	205
439	160	204
440	160	204
441	161	203
442	161	202
443	161	202
444	161	201
445	162	201
446	162	200
447	162	200
448	162	199
449	162	199
450	163	198
451	163	198
452	163	197
453	163	197
454	164	196
455	164	196
456	164	195
457	164	195
458	165	194
459	165	194
460	165	193
461	165	193
462	166	192
463	166	191
464	166	191
465	166	190
466	166	190
467	167	189
468	167	189
469	167	188
470	167	188
471	167	187
472	168	187
473	168	186
474	168	186
475	168	185
476	168	185
477	169	184
478	169	184
479	169	183
480	169	183
481	170	182
482	170	182
483	170	181
484	170	181
485	170	180
486	171	180
487	171	179
488	171	179
489	171	178
490	172	178
491	172	177
492	172	177
493	173	178
494	174	178
495	175	178
496	175	178
497	176	177
498	177	177
499	177	177
500	177	177
501	178	176
502	178	176
503	178	176
504	179	175
505	179	175
506	179	174
507	180	174
508	180	174
509	181	174
510	181	174
511	182	173
512	182	173
513	183	173
514	183	172
515	183	172
516	184	172
517	184	171
518	185	171
519	185	171
520	185	170
521	186	170
522	186	170
523	186	169
524	186	169
525	187	168
526	187	168
527	187	167
528	187	167
529	188	166
530	188	166
531	189	166
532	190	166
533	190	166
534	190	165
535	190	165
536	191	164
537	191	164
538	191	163
539	191	163
540	191	162
541	192	162
542	192	161
543	192	161
544	192	160
545	193	160
546	193	160
547	193	159
548	193	159
549	193	158
550	194	158
551	194	157
552	194	157
553	194	156
554	195	156
555	195	156
556	196	156
557	196	155
558	196	155
559	196	154
560	197	154
561	197	153
562	197	153
563	197	152
564	197	152
565	198	151
566	198	151
567	198	151
568	198	150
569	198	150
570	199	149
571	199	149
572	199	148
573	199	148
574	200	147
575	200	147
576	200	147
577	200	146
578	200	146
579	201	145
580	201	145
581	201	144
582	201	144
583	202	143
584	202	143
585	202	143
586	202	142
587	203	142
588	203	141
589	203	141
590	203	140
591	203	140
592	204	140
593	204	139
594	204	139
595	204	138
596	205	138
597	205	137
598	205	137
599	205	137
600	205	136
601	206	136
602	206	135
603	206	135
604	206	134
605	206	134
606	207	134
607	207	133
608	207	133
609	207	132
610	207	132
611	208	131
612	208	131
613	208	131
614	208	130
615	209	130
616	209	129
617	209	129
618	209	129
619	210	128
620	210	128
621	210	127
622	210	127
623	210	127
624	211	126
625	211	126
626	211	125
627	211	125
628	212	125
629	212	124
630	212	124
631	212	123
632	212	123
633	213	123
634	213	122
635	213	122
636	213	121
637	214	121
638	214	121
639	214	120
640	214	120
641	214	119
642	215	119
643	215	119
644	215	118
645	215	118
646	216	117
647	216	117
648	216	117
649	216	116
650	217	116
651	217	115
652	217	115
653	217	115
654	217	114
655	218	114
656	218	114
657	218	113
658	218	113
659	219	112
660	219	112
661	219	112
662	219	111
663	219	111
664	220	110
665	220	110
666	220	110
667	220	109
668	221	109
669	221	109
670	221	108
671	221	108
672	222	107
673	222	107
674	222	107
675	222	106
676	222	106
677	223	105
678	223	105
679	223	105
680	223	104
681	223	104
682	224	104
683	224	103
684	224	103
685	224	102
686	225	102
687	225	102
688	225	101
689	225	101
690	225	101
691	226	100
692	226	100
693	226	99
694	226	99
695	227	99
696	227	98
697	227	98
698	227	98
699	228	97
700	228	97
701	228	96
702	228	96
703	228	96
704	229	95
705	229	95
706	229	95
707	229	94
708	229	94
709	230	94
710	230	93
711	230	93
712	230	92
713	231	92
714	231	92
715	231	91
716	231	91
717	231	91
718	232	90
719	232	90
720	232	89
721	232	89
722	232	89
723	233	88
724	233	88
725	233	88
726	233	87
727	234	87
728	234	87
729	234	86
730	234	86
731	234	85
732	235	85
733	235	85
734	235	84
735	235	84
736	235	84
737	236	83
738	236	83
739	236	83
740	236	82
741	236	82
742	237	82
743	237	81
744	237	81
745	237	80
746	238	80
747	238	80
748	238	79
749	238	79
750	238	79
751	239	78
752	239	78
753	239	78
754	239	77
755	239	77
756	240	77
757	240	76
758	240	76
759	240	76
760	241	75
761	241	75
762	241	74
763	241	74
764	241	74
765	242	73
766	242	73
767	242	73
768	242	72
769	243	72
770	243	72
771	243	71
772	243	71
773	243	71
774	244	70
775	244	70
776	244	70
777	244	69
778	245	69
779	245	69
780	245	68
781	245	68
782	245	68
783	246	67
784	246	67
785	246	67
786	246	66
787	247	66
788	247	66
789	247	65
790	247	65
791	247	65
792	248	64
793	248	64
794	248	64
795	248	63
796	249	63
797	249	63
798	249	62
799	249	62
800	249	62
801	250	61
802	250	61
803	250	61
804	250	60
805	251	60
806	251	60
807	251	59
808	251	59
809	251	59
810	252	58
811	252	58
812	252	58
813	252	57
814	253	57
815	253	57
816	253	56
817	253	56
818	253	56
819	254	55
820	254	55
821	254	55
822	254	54
823	254	54
824	255	54
825	255	53
826	255	53
827	255	53
828	256	52
829	256	52
830	256	52
831	256	51
832	256	51
833	257	51
834	257	50
835	257	50
836	257	50
837	258	49
838	258	49
839	258	49
840	258	48
841	258	48
842	259	48
843	259	47
844	259	47
845	259	47
846	260	46
847	260	46
848	260	46
849	260	46
850	261	45
851	261	45
852	261	45
853	261	44
854	261	44
855	262	44
856	262	43
857	262	43
858	262	43
859	262	42
860	263	42
861	263	42
862	263	41
863	263	41
864	264	41
865	264	40
866	264	40
867	264	40
868	264	39
869	265	39
870	265	39
871	265	38
872	265	38
873	266	38
874	266	38
875	266	37
876	266	37
877	266	37
878	267	36
879	267	36
880	267	36
881	267	35
882	268	35
883	268	35
884	268	34
885	268	34
886	268	34
887	269	33
888	269	33
889	269	33
890	269	32
891	269	32
892	270	32
893	270	32
894	270	31
895	270	31
896	270	31
897	271	30
898	271	30
899	271	30
900	271	29
901	272	29
902	272	29
903	272	28
904	272	28
905	272	28
906	273	28
907	273	27
908	273	27
909	273	27
910	274	26
911	274	26
912	274	26
913	274	25
914	274	25
915	275	25
916	275	24
917	275	24
918	275	24
919	276	24
920	276	23
921	276	23
922	276	23
923	276	22
924	277	22
925	277	22
926	277	21
927	278	21
928	278	21
929	278	20
930	279	20
931	279	20
932	279	20
933	279	19
934	280	19
935	280	19
936	280	18
937	280	18
938	280	18
939	281	17
940	282	17
941	282	17
942	282	17
943	282	16
944	283	16
945	283	16
946	283	15
947	283	15
948	283	15
949	284	14
950	284	14
951	284	14
952	284	14
953	285	13
954	285	13
955	285	13
956	285	12
957	285	12
958	286	12
959	286	11
960	286	11
961	286	11
962	287	11
963	287	10
964	287	10
965	287	10
966	287	9
967	288	9
968	288	9
969	288	8
970	288	8
971	288	8
972	289	8
973	289	7
974	289	7
975	289	7
976	290	6
977	290	6
978	290	6
979	290	5
980	290	5
981	291	5
982	291	5
983	291	4
984	291	4
985	292	4
986	292	3
987	292	3
988	292	3
989	292	2
990	293	2
991	293	2
992	293	2
993	293	1
994	293	1
995	294	1
996	294	0
997	294	0
998	294	0
999	295	0
